,ts,contract_address,evt_tx_hash,evt_tx_from,evt_tx_to,evt_index,evt_block_time,evt_block_number,amount0,amount1,sender,to
549,2024-07-08 02:39:47,0x88a43bbdf9d098eec7bceda4e2494615dfd9bb9c,0x7d76b9a309a428b2e3ab024e9eb5f21c49828e00ceea886f4730cafa69b3d16d,0xd9ebac22cffb3bfa83e10a294ff045f7d7f2b0c0,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,183,2024-07-08 02:39:47.000 UTC,16808520.0,5438992655421126,15735379,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
550,2024-07-08 07:28:55,0x88a43bbdf9d098eec7bceda4e2494615dfd9bb9c,0x85483b5e3067c77cc696b1d757410e4ad989fa7c2299ecdad85b44f386e1425e,0xe7252452c033fcea70e430ac635e2d900ec07f81,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,205,2024-07-08 07:28:55.000 UTC,16817194.0,8587481821314765,24979666,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
551,2024-07-08 07:49:45,0x88a43bbdf9d098eec7bceda4e2494615dfd9bb9c,0xf18c7e3edf21cc6407c82a3c51711292da68bf550deb55fe896a94c71ff56fc0,0x251a3f446cba3c83ad2573171eab902bcd034614,0x23cf10b1ee3adfca73b0ef17c07f7577e7acd2d7,203,2024-07-08 07:49:45.000 UTC,16817819.0,64146372930666658,187812347,0x23cf10b1ee3adfca73b0ef17c07f7577e7acd2d7,0x23cf10b1ee3adfca73b0ef17c07f7577e7acd2d7
552,2024-07-08 07:57:19,0x88a43bbdf9d098eec7bceda4e2494615dfd9bb9c,0xb3d42d7379ff362182a23f399ca2ded6be5900efc3b2ffb197c6d4e6c969bfb8,0xf92d54637635f539ae142ad9f68c62903b649b1c,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,21,2024-07-08 07:57:19.000 UTC,16818046.0,6715954734350194,19673899,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
553,2024-07-08 11:14:55,0x88a43bbdf9d098eec7bceda4e2494615dfd9bb9c,0xfa3fa06da7fe82dd5f0a9648acce27fb921b89770802f2dce7602030dc505f1b,0xb37d7f5fd657ec5d6241385cdc2738c1e93f1c57,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,506,2024-07-08 11:14:55.000 UTC,16823974.0,354029506531081,1073014,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
554,2024-07-08 14:15:09,0x88a43bbdf9d098eec7bceda4e2494615dfd9bb9c,0xb8c6f580a39a49a7d1c79fa1096b4c06f8d9a13d77314063378d4367f2d7798e,0x5db201ae15f9702f0a0ff9f00b8c1c18355373d0,0x7135ba051fcba0d3bde77add0601d8b69c91ece1,102,2024-07-08 14:15:09.000 UTC,16829381.0,25048892258522590078,76042087302,0xcd4257699b48d4791e77116d0e6a3bd48ad9567f,0x5db201ae15f9702f0a0ff9f00b8c1c18355373d0
555,2024-07-09 00:56:33,0x88a43bbdf9d098eec7bceda4e2494615dfd9bb9c,0x91890cf4832c8f1c4c4f28b8bdd0c8727881200f4261c3d84fb290c24e7f6ea2,0xe640d5d3532a7d26f4c46722638dc8b01350c1d2,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,207,2024-07-09 00:56:33.000 UTC,16848623.0,1136886961477235943,3438716982,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
556,2024-07-09 04:54:51,0x88a43bbdf9d098eec7bceda4e2494615dfd9bb9c,0x55e93d78ded16906b1d371d91f4c7303f7834647cbce6002af908bdf1b2aa07c,0x3218a1ab17a1f2080a9939be517a14211aa9f64b,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,168,2024-07-09 04:54:51.000 UTC,16855772.0,6673786126915411,20503312,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
557,2024-07-09 06:37:27,0x88a43bbdf9d098eec7bceda4e2494615dfd9bb9c,0x311e373313297041042fd9f084908402c25f88bc16ab04fe751e7474080cfcc7,0x13b1bb6f8c311417b32cb041ee417c11383519fc,0x7135ba051fcba0d3bde77add0601d8b69c91ece1,183,2024-07-09 06:37:27.000 UTC,16858850.0,1943987773636951,5995324,0xcd4257699b48d4791e77116d0e6a3bd48ad9567f,0x13b1bb6f8c311417b32cb041ee417c11383519fc
558,2024-07-09 06:51:11,0x88a43bbdf9d098eec7bceda4e2494615dfd9bb9c,0x88d34ac39d002f71fd9bbc849b1ca13ce281fa1b3de62fbf17dc5daca07dd48c,0x47cf7d2b8b871ca9c91eea077019fc3924df0234,0x7135ba051fcba0d3bde77add0601d8b69c91ece1,238,2024-07-09 06:51:11.000 UTC,16859262.0,1950031859117562,6012066,0xcd4257699b48d4791e77116d0e6a3bd48ad9567f,0x47cf7d2b8b871ca9c91eea077019fc3924df0234
559,2024-07-09 07:05:15,0x88a43bbdf9d098eec7bceda4e2494615dfd9bb9c,0x08b27f274eca2a76a97ddbaf464e58d803142585f0c58e324ccb079222dc5df7,0x6801ac31ed0bac35c7bac72b386bd4ccfb5f0c65,0x7135ba051fcba0d3bde77add0601d8b69c91ece1,687,2024-07-09 07:05:15.000 UTC,16859684.0,1948685984346744,6006173,0xcd4257699b48d4791e77116d0e6a3bd48ad9567f,0x6801ac31ed0bac35c7bac72b386bd4ccfb5f0c65
560,2024-07-09 07:15:33,0x88a43bbdf9d098eec7bceda4e2494615dfd9bb9c,0x1207070f3a43d208bfb0e7692118a97ad7b1a0bc5010601f1e52aac31d609921,0xae75dc8205b4e24f6b0eeb23722991aceb747d22,0x7135ba051fcba0d3bde77add0601d8b69c91ece1,259,2024-07-09 07:15:33.000 UTC,16859993.0,2068670881572157,6368475,0xcd4257699b48d4791e77116d0e6a3bd48ad9567f,0xae75dc8205b4e24f6b0eeb23722991aceb747d22
561,2024-07-09 07:23:59,0x88a43bbdf9d098eec7bceda4e2494615dfd9bb9c,0x2f79c591d8720b67fdca011aea2ab03e8ce5674cb19d121de9d9de86b88c3740,0x07c4dc73b286a474f28e9daa9ba6f88fe390b1b6,0x7135ba051fcba0d3bde77add0601d8b69c91ece1,161,2024-07-09 07:23:59.000 UTC,16860246.0,2010391306331742,6178877,0xcd4257699b48d4791e77116d0e6a3bd48ad9567f,0x07c4dc73b286a474f28e9daa9ba6f88fe390b1b6
562,2024-07-09 08:47:31,0x88a43bbdf9d098eec7bceda4e2494615dfd9bb9c,0x9dcba43b33bd1d0ba886ebd7dd8b16b85afe87fc3a7938e29dd498590c523915,0xddb0d8f3e4bef408523430fd448f294630a82937,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,110,2024-07-09 08:47:31.000 UTC,16862752.0,316963417162200,982995,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
