,ts,contract_address,evt_tx_hash,evt_tx_from,evt_tx_to,evt_index,evt_block_time,evt_block_number,amount0,amount1,sender
883,2024-06-19 03:58:27,0x88a43bbdf9d098eec7bceda4e2494615dfd9bb9c,0x5a9cc09300140e201737db954f2e71c8d3df2ac37912b377fa2ace5bc5c5bbe0,0xee91bbd717ae0208cb2d61d076fa7b3b1467dbf4,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,81,2024-06-19 03:58:27.000 UTC,15990080.0,5614537986360510,19999519,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
884,2024-06-19 04:22:47,0x88a43bbdf9d098eec7bceda4e2494615dfd9bb9c,0x315b2bf8ec661ee956ddfc5e94fa2d64097a1efc26288c3aabbbc5b3362c3be8,0xd45e48bb286cb8f1bed831a5fc36248ebaa1d0c1,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,50,2024-06-19 04:22:47.000 UTC,15990810.0,5608873752265724,20000000,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
885,2024-06-19 04:23:01,0x88a43bbdf9d098eec7bceda4e2494615dfd9bb9c,0x7c7a792cfbdabfa76794fb61ba5293730bd8adef9631ed3c70b142ac6c787bef,0x60e8b7ba0df4d2c746c40785962e3c61766c76f2,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,48,2024-06-19 04:23:01.000 UTC,15990817.0,5608844695845408,19999753,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
886,2024-06-19 06:40:45,0x88a43bbdf9d098eec7bceda4e2494615dfd9bb9c,0xa56f4cb1229e7d3071742611c0546a4d78bbb43aaf0c3380a51ade1fb95645f1,0xd929da613f6ad25e1d819b0593d97616866a6c47,0x7135ba051fcba0d3bde77add0601d8b69c91ece1,154,2024-06-19 06:40:45.000 UTC,15994949.0,423496482532132,1504300,0xcd4257699b48d4791e77116d0e6a3bd48ad9567f
887,2024-06-19 12:34:33,0x88a43bbdf9d098eec7bceda4e2494615dfd9bb9c,0x3edfb2d580c8882e302631032aec9f180f9ce4e35ee8a29d43302f701b5f9926,0x5db201ae15f9702f0a0ff9f00b8c1c18355373d0,0x7135ba051fcba0d3bde77add0601d8b69c91ece1,32,2024-06-19 12:34:33.000 UTC,16005563.0,154100000000000000,545588713,0xcd4257699b48d4791e77116d0e6a3bd48ad9567f
888,2024-06-19 13:36:49,0x88a43bbdf9d098eec7bceda4e2494615dfd9bb9c,0x37366d7cd36fbbe761e761c564b33c2c9774f94cfc8be97569a5ef374d17c4b8,0x17e6a8a7897cb3e386302cdb0c61a481e37524b9,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,268,2024-06-19 13:36:49.000 UTC,16007431.0,269939768652922591,956160000,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
889,2024-06-19 13:58:29,0x88a43bbdf9d098eec7bceda4e2494615dfd9bb9c,0xbe34b2b7c137739748c0538d4669b8c350245ade981475d5255e3a4d840e487c,0x3bd51e640c0595eef8a9ff05341c4819a15e38ee,0x7135ba051fcba0d3bde77add0601d8b69c91ece1,44,2024-06-19 13:58:29.000 UTC,16008081.0,7148863785661488,25312850,0xcd4257699b48d4791e77116d0e6a3bd48ad9567f
890,2024-06-19 18:12:47,0x88a43bbdf9d098eec7bceda4e2494615dfd9bb9c,0x296ff6ec736abdeaf7f82c44a2f73128cc5789a56ce933576094dd75fd3c7226,0x944b5f7d8eece040aae1895c7fed03202aedf123,0x7135ba051fcba0d3bde77add0601d8b69c91ece1,118,2024-06-19 18:12:47.000 UTC,16015710.0,17098624280725343000,61028083065,0xcd4257699b48d4791e77116d0e6a3bd48ad9567f
891,2024-06-19 18:14:03,0x88a43bbdf9d098eec7bceda4e2494615dfd9bb9c,0xcad12a24706821127fbc68e7ee5ff57be92e8cb90444e9fa3fcb88ded74b512d,0x944b5f7d8eece040aae1895c7fed03202aedf123,0x7135ba051fcba0d3bde77add0601d8b69c91ece1,54,2024-06-19 18:14:03.000 UTC,16015748.0,4576615567670425,16327334,0xcd4257699b48d4791e77116d0e6a3bd48ad9567f
892,2024-06-19 18:33:13,0x88a43bbdf9d098eec7bceda4e2494615dfd9bb9c,0x12bd0146345d0a01f210935e3695b927d3285cfe335a20084d08057d8d59506d,0x8fb684967546b742934bb3b1d220172f602b0b46,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,303,2024-06-19 18:33:13.000 UTC,16016323.0,2581758225860625,9214712,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
893,2024-06-19 20:24:41,0x88a43bbdf9d098eec7bceda4e2494615dfd9bb9c,0xb2e38c181250bdfbf4edcef9af44ac4bc74317291ac8f8467a2202e7cec8741e,0xce737d8be02c997322c47d282145ab3338bf873a,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,44,2024-06-19 20:24:41.000 UTC,16019667.0,579087905540074583,2048231168,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
894,2024-06-20 01:00:43,0x88a43bbdf9d098eec7bceda4e2494615dfd9bb9c,0x954359ed94b08777ca6387c4348f6bf1cb245e011835ede8294619695481519a,0x1d6035c88b0b2c15e4cfc21bff87ea164b97f10b,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,277,2024-06-20 01:00:43.000 UTC,16027948.0,3978330895297635,14205830,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
895,2024-06-20 01:03:33,0x88a43bbdf9d098eec7bceda4e2494615dfd9bb9c,0x1ae1751b3f6b5cdab74fceec96abb44d5a4090843934d5f2c085cebcc281325b,0xa8f8cbde21cd63d86c7b5ccbd3abff3ef4f8ea31,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,446,2024-06-20 01:03:33.000 UTC,16028033.0,4180542189204780,14928775,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
896,2024-06-20 03:36:33,0x88a43bbdf9d098eec7bceda4e2494615dfd9bb9c,0xe5e544eb351a1672f729aa554de9b019bafe8e8ddec041839ed7bb65a9d7559c,0xb0fbb2d9a16b05f98297e76f25a879e424f493da,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,161,2024-06-20 03:36:33.000 UTC,16032623.0,3978680343797617,14146351,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
897,2024-06-20 09:19:07,0x88a43bbdf9d098eec7bceda4e2494615dfd9bb9c,0xd17ce9d7de09028bb33d5669785a997661612d296f0d5e1a1684ff3587157e02,0xcfc41ac6275f69658f57ef84038f797e372b58e7,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,9,2024-06-20 09:19:07.000 UTC,16042900.0,6691766765677693,24000000,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
898,2024-06-20 16:35:29,0x88a43bbdf9d098eec7bceda4e2494615dfd9bb9c,0x44707678e741c44f011a458ebbd98e48ed62acf1be9c9bc50246b33527148f67,0x7f665e02d4eed9aad7f67b9c205ca29f6aec6b0a,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,47,2024-06-20 16:35:29.000 UTC,16055991.0,27276413495022,95389,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
899,2024-06-20 23:33:25,0x88a43bbdf9d098eec7bceda4e2494615dfd9bb9c,0xcf513b7d9cfe71e13619e6d94377df71e9439547e66f1640111d1bd6ae99a406,0x5db201ae15f9702f0a0ff9f00b8c1c18355373d0,0x7135ba051fcba0d3bde77add0601d8b69c91ece1,53,2024-06-20 23:33:25.000 UTC,16068529.0,49699649976099961149,174377743421,0xcd4257699b48d4791e77116d0e6a3bd48ad9567f
900,2024-06-21 02:10:41,0x88a43bbdf9d098eec7bceda4e2494615dfd9bb9c,0xa635fb2ac24f3447f6028e9510fe12aabeb9159f1653a32a7bdc0b54450e8034,0x7da06a1135459ddc2b05f44ec98b59da51460a6f,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,205,2024-06-21 02:10:41.000 UTC,16073247.0,5292304668864503,18624948,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
901,2024-06-21 06:58:11,0x88a43bbdf9d098eec7bceda4e2494615dfd9bb9c,0x6db0e68ba82321eb70c15c828c010cf1e72a7ea754adced3315a859bf0edc846,0xe90dd26ba3ca6dc140d2b65688f502bdc4fae015,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,196,2024-06-21 06:58:11.000 UTC,16081872.0,4950044102355861,17398170,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
902,2024-06-21 07:24:59,0x88a43bbdf9d098eec7bceda4e2494615dfd9bb9c,0x34a00dd9ca36c837558d0b4545b36c99ad19efb7a7f7c5daf932c88594af09a4,0x9b1439f63bebc370f4207d09ad611755945472fa,0x7135ba051fcba0d3bde77add0601d8b69c91ece1,118,2024-06-21 07:24:59.000 UTC,16082676.0,300000000000000,1054906,0xcd4257699b48d4791e77116d0e6a3bd48ad9567f
903,2024-06-21 09:39:51,0x88a43bbdf9d098eec7bceda4e2494615dfd9bb9c,0x9d40dbb44e5bd3968ef149dd7579cea0c0dcab795898b4d766fbe8f525e36284,0x4a07cf1082f79ddedd23dfb14171bb23fcb526fb,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,175,2024-06-21 09:39:51.000 UTC,16086722.0,569906518084814,1999837,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
904,2024-06-21 18:26:59,0x88a43bbdf9d098eec7bceda4e2494615dfd9bb9c,0xdf4d8b533ecb331aaa7939b28f85370cf2c55f34dfdec671c2b3e64e136c2901,0xe008ab136a913b6a4e60d6867f9fd2b08d2ab34f,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,201,2024-06-21 18:26:59.000 UTC,16102536.0,14855625184896583,51777720,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
905,2024-06-21 19:27:13,0x88a43bbdf9d098eec7bceda4e2494615dfd9bb9c,0x5b75cbe24c2d1f808716fb70d0bdb74f7f3b50bcc014798df53f29217826f1f8,0x937fd8cc7f7d2ef5b801e44c03218ade5648c3fb,0x7135ba051fcba0d3bde77add0601d8b69c91ece1,182,2024-06-21 19:27:13.000 UTC,16104343.0,20983145028255575,73902456,0xcd4257699b48d4791e77116d0e6a3bd48ad9567f
906,2024-06-21 22:59:43,0x88a43bbdf9d098eec7bceda4e2494615dfd9bb9c,0x0410e978826b2434a4d37fb5ef231cb4d3c8d3ef2a88432e3d188beef316f0f7,0xbd9b40659bbe4526eb50cfa76b93a437abd5c21c,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,222,2024-06-21 22:59:43.000 UTC,16110718.0,181303555723205,639147,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
907,2024-06-22 02:11:35,0x88a43bbdf9d098eec7bceda4e2494615dfd9bb9c,0x92eea6bcac59f1c79777956a290ed78f60513a5981ea79fed5b3fe5eb0f2fb9d,0x36b407179af2b335e2affb63d609b88bec5b71b2,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,202,2024-06-22 02:11:35.000 UTC,16116474.0,4198311885565983,14691537,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
908,2024-06-22 02:16:49,0x88a43bbdf9d098eec7bceda4e2494615dfd9bb9c,0x40537cdac8eb88d514ed9c6f4ef393c5abed1c6330e86e29bedd16eca23e851b,0xda4a1cc88c846cbb744114f4ab36fec3697bcd3f,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,176,2024-06-22 02:16:49.000 UTC,16116631.0,4499267803527635,15747974,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
909,2024-06-22 02:18:43,0x88a43bbdf9d098eec7bceda4e2494615dfd9bb9c,0x0b990e6942f92ffbce7f5a0af931e981fb89a1477aaea95f1c47ea3b528bfe6e,0x69d48f94dedf671df28b8dbd6b846dde72c79fde,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,183,2024-06-22 02:18:43.000 UTC,16116688.0,4095808972413158,14336382,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
910,2024-06-22 02:20:45,0x88a43bbdf9d098eec7bceda4e2494615dfd9bb9c,0x0afb05cb49aa90f51982624217aefe7303e5101c4539088b4f71311c2b5fc33f,0xee8cd2647c4c9fb3f21bba67bd165cef0e0e19c9,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,214,2024-06-22 02:20:45.000 UTC,16116749.0,4795870497747910,16791503,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
911,2024-06-22 02:25:13,0x88a43bbdf9d098eec7bceda4e2494615dfd9bb9c,0x678077ca96da663da160ff51c7b863aed786f72fece049bb3fdc51da0f84fcbb,0xc6dc1a73311b19ad36198190f4877b76f093ebbf,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,204,2024-06-22 02:25:13.000 UTC,16116883.0,4990352551394078,17489122,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
912,2024-06-22 02:32:13,0x88a43bbdf9d098eec7bceda4e2494615dfd9bb9c,0x5e0449c1769e58629341abd25fa3db61b1304e76afd274c1c58f2e297f6c18ed,0xbbb925bcd1f4e23ad4aa030256dec1f235c16935,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,209,2024-06-22 02:32:13.000 UTC,16117093.0,5831731086258107,20452619,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
913,2024-06-22 02:35:09,0x88a43bbdf9d098eec7bceda4e2494615dfd9bb9c,0xb7392d6f4cc49ca17ab9370e672ed428038cd5550f6e4b19980f96ed5ffbaadb,0xb2f6225bf0fa0420b79c8b5e61e9d6ab1616b223,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,151,2024-06-22 02:35:09.000 UTC,16117181.0,3979675993741061,13961572,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
914,2024-06-22 07:52:49,0x88a43bbdf9d098eec7bceda4e2494615dfd9bb9c,0xbf4596b08341d9aada0b406820fc4623d300528fbc1eed7acb2d8d490e17d634,0xa48e74854c0f8f9e331e110ad71f574891242d00,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,215,2024-06-22 07:52:49.000 UTC,16126711.0,29986405127681690,104714206,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
915,2024-06-22 08:03:57,0x88a43bbdf9d098eec7bceda4e2494615dfd9bb9c,0xbc09c65f8e58b441e3e806b9ed5d45db13667c189f9c86bfc766725ce1c8e4f6,0xfb5bab4322e75081dd4b7fb9d290cfdc57ad7a85,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,393,2024-06-22 08:03:57.000 UTC,16127045.0,28661936019779987,99998940,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
916,2024-06-22 08:19:03,0x88a43bbdf9d098eec7bceda4e2494615dfd9bb9c,0x1822c9bb2c59222825da83dc395771255a105acadf472ec126bbd628740e6bfc,0x5e0c40c434dd32a501b42ada0b8da34e8b194a5f,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,896,2024-06-22 08:19:03.000 UTC,16127498.0,14327093786729368,50000000,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
917,2024-06-22 08:40:35,0x88a43bbdf9d098eec7bceda4e2494615dfd9bb9c,0x67c9d1470fcac240d5b6d01fa9a37b4d521192bf2046793ed1f474e0dfed518d,0x2176c075080606c1ff6e82682907ff59b9e046db,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,151,2024-06-22 08:40:35.000 UTC,16128144.0,14323391237648981,49999996,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
918,2024-06-22 11:28:49,0x88a43bbdf9d098eec7bceda4e2494615dfd9bb9c,0x68ef24a054061f7d24c8540d4457190bab23be37207ac7b0ee1efef5fc6d7daf,0xfc95e0421b265eaa9f44b89c4e929e746b282117,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,334,2024-06-22 11:28:49.000 UTC,16133191.0,14330555782706454,49999939,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
919,2024-06-22 11:57:27,0x88a43bbdf9d098eec7bceda4e2494615dfd9bb9c,0x4ee85550a1ec03fec20babd71ccd6124cf8f8dd1f74cfcc66bc4a3ec4446c404,0xd5928dea18a061b5c63d4b5af36b2fb3457bdabd,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,211,2024-06-22 11:57:27.000 UTC,16134050.0,14305898688021127,50000000,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
920,2024-06-22 12:15:43,0x88a43bbdf9d098eec7bceda4e2494615dfd9bb9c,0x1ea37524627dc2696832a7bc09b95a8c63f253c39740c811a2b2b174f43728b6,0x3a5fc3d4ad2c0b5a4c9e63ed00ae1125b24be268,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,212,2024-06-22 12:15:43.000 UTC,16134598.0,44902115799238291,156989694,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
921,2024-06-22 14:11:23,0x88a43bbdf9d098eec7bceda4e2494615dfd9bb9c,0x01dfe45fa8a67a6194941da6deb92eddc5f2583b099f2531ed4bbb12ba83ab41,0xd3e878adf8ef9073db4df0660073df3ec0ab98fa,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,189,2024-06-22 14:11:23.000 UTC,16138068.0,7973986868161072,28009062,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
922,2024-06-22 16:01:49,0x88a43bbdf9d098eec7bceda4e2494615dfd9bb9c,0xbffb32a5eea831ac4b78b3ba8f9c73c14371d54d7905529737caf567b4effea2,0x26d9190344c17e9922d1747f1813d3f1180b5a67,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,187,2024-06-22 16:01:49.000 UTC,16141381.0,28902418236274698,101000000,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
923,2024-06-23 07:49:01,0x88a43bbdf9d098eec7bceda4e2494615dfd9bb9c,0x3584cceccdb52621bbbf06fdb2af0d2c8b97b2935edcf8b9f3694b5415696953,0x0e9407ef687eb3d6da4b55e05911b650636f685c,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,209,2024-06-23 07:49:01.000 UTC,16169797.0,4128144570091780,14497853,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
924,2024-06-23 07:56:15,0x88a43bbdf9d098eec7bceda4e2494615dfd9bb9c,0xa2b857828967d9ff1e83525c792d08db049ba06315e603658acaf86f449866f8,0x509aaa40a13ada7345c65846679d47f7f73e496b,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,382,2024-06-23 07:56:15.000 UTC,16170014.0,4549353154657388,15982063,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
925,2024-06-23 08:05:43,0x88a43bbdf9d098eec7bceda4e2494615dfd9bb9c,0x6dde4fbaf5af7843a2b69e70f7e07a1dbbd3649d7a250e58df1ce2dcda466b39,0x624b6ce7109b6bac0729d8a8fecd8c9005d1fce5,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,159,2024-06-23 08:05:43.000 UTC,16170298.0,4451333277280981,15662876,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
926,2024-06-23 08:10:07,0x88a43bbdf9d098eec7bceda4e2494615dfd9bb9c,0x1a7e31b80947286b02d3bd2d10a02ad9f4056df22b78601e3d2589f075cfdb77,0x12b3a0e82a1c83c9479db11aaa77840353f314f2,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,197,2024-06-23 08:10:07.000 UTC,16170430.0,9997727642969590,35126948,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
927,2024-06-23 08:13:47,0x88a43bbdf9d098eec7bceda4e2494615dfd9bb9c,0x4bafc9fda6547262f6e83140f4cbbdbbd3d8413fba99e47f804320b44f778bd3,0x7b05bcddc4be14b53d8b7caf204c9b5b4283c96b,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,203,2024-06-23 08:13:47.000 UTC,16170540.0,3762898159458241,13237316,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
928,2024-06-23 08:22:49,0x88a43bbdf9d098eec7bceda4e2494615dfd9bb9c,0x50cd582c943afa3f95deaeb12b20ae429c84d84e18d0898682c85fc83ac70357,0x345c05197f0249c52948326768032622cece2e60,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,113,2024-06-23 08:22:49.000 UTC,16170811.0,3675525965597585,12922213,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
929,2024-06-23 11:34:15,0x88a43bbdf9d098eec7bceda4e2494615dfd9bb9c,0x2bc6fecb6c9f2bc5e033c0aefe8b8447eddb1fd6b38e08a7807df3dc88643fb8,0x947343951330a1e6f5d0ea83ca70e2cc0c043d17,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,267,2024-06-23 11:34:15.000 UTC,16176554.0,8594436738990963,30000000,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
