,ts,contract_address,evt_tx_hash,evt_index,evt_block_time,evt_block_number,amount0,amount1,sender
527,2024-07-01 03:18:19,0xf64dfe17c8b87f012fcf50fbda1d62bfa148366a,0xc975ce789dec545523612ae52aee6800923ce1cc1bd8e07a9fb9ace2564cd3f9,15,2024-07-01 03:18:19.000 UTC,227504572.0,6153406346975,21552,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
528,2024-07-01 18:44:17,0xf64dfe17c8b87f012fcf50fbda1d62bfa148366a,0x174866c62c03fbf3fbe93352b750d3d35c5f2bb50c38e2a87af92a29d49e98ab,5,2024-07-01 18:44:17.000 UTC,227726523.0,2694727361928679,9380279,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
529,2024-07-02 00:07:43,0xf64dfe17c8b87f012fcf50fbda1d62bfa148366a,0x83139c2c613f4eeb883ed677f8326224403c77379d8ec1d78761d04488783a6e,15,2024-07-02 00:07:43.000 UTC,227803993.0,5597325124653,19268,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
530,2024-07-02 06:37:42,0xf64dfe17c8b87f012fcf50fbda1d62bfa148366a,0xe3b9ee1787f0ae304ccd0c01edf209372b8e3c7f86a964af23f6b5894baa4c08,9,2024-07-02 06:37:42.000 UTC,227897489.0,579477296581974,2000000,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
531,2024-07-02 06:46:55,0xf64dfe17c8b87f012fcf50fbda1d62bfa148366a,0xa20dd5ca053e7fb7c3b9f02f9e0ad6c6ab425826c4cb303e9426e696f1cb917b,7,2024-07-02 06:46:55.000 UTC,227899702.0,1448764608011890,5000000,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
532,2024-07-02 15:33:57,0xf64dfe17c8b87f012fcf50fbda1d62bfa148366a,0xe6fd213984ee81e81f1062b599203d49ffe48986d882d799acbd6f9852487006,20,2024-07-02 15:33:57.000 UTC,228025826.0,991473976179,3379,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
533,2024-07-04 09:38:54,0xf64dfe17c8b87f012fcf50fbda1d62bfa148366a,0x80e28eb5938c0673cd416b3aea6a96c86cb208a24aaf99f517055147ac996e73,9,2024-07-04 09:38:54.000 UTC,228630040.0,999259471055077,3155499,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
534,2024-07-04 16:16:27,0xf64dfe17c8b87f012fcf50fbda1d62bfa148366a,0x232ef4b43ee54fbaf4de9fe8c2cfd01074c739af392ab5e4b29597f0ed450347,60,2024-07-04 16:16:27.000 UTC,228725059.0,3195221588086,10000,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
535,2024-07-04 17:40:25,0xf64dfe17c8b87f012fcf50fbda1d62bfa148366a,0x7e7a2ecd763d48bcc9c96b40bd6367523d813f87ee46166697b610d347ab292d,5,2024-07-04 17:40:25.000 UTC,228744447.0,3730749852751768,11691504,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
536,2024-07-04 20:08:13,0xf64dfe17c8b87f012fcf50fbda1d62bfa148366a,0x33307de456445b92f0eb0582e5d8f47dec4938a72d8f276518e3dd2dc288051d,8,2024-07-04 20:08:13.000 UTC,228779853.0,4252244639052970,13333710,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
537,2024-07-05 17:11:04,0xf64dfe17c8b87f012fcf50fbda1d62bfa148366a,0xd55e5ccaefe6feaa046ddc3a5e2422f630fb8adbbcb34ac693413fc9fb77d80d,11,2024-07-05 17:11:04.000 UTC,229081774.0,39860258993486565,118418043,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
538,2024-07-05 18:47:06,0xf64dfe17c8b87f012fcf50fbda1d62bfa148366a,0xc653f9535ecfe263451be273ce70469f100c7d0c443005912f7af271f48ba36f,5,2024-07-05 18:47:06.000 UTC,229104708.0,605916455375,1809,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
539,2024-07-05 22:18:18,0xf64dfe17c8b87f012fcf50fbda1d62bfa148366a,0x55eb090c9e41de6e94700a227914f93943b270a5ac9250d75883072fc1707166,7,2024-07-05 22:18:18.000 UTC,229155302.0,6202439038123250,18473367,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
540,2024-07-06 22:24:53,0xf64dfe17c8b87f012fcf50fbda1d62bfa148366a,0x4a3136333b51b0dff55a715a4d28db091e6a2e30c3b092dce00097bba8cba73b,7,2024-07-06 22:24:53.000 UTC,229501944.0,1630365089506338,5000000,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
541,2024-07-07 23:12:54,0xf64dfe17c8b87f012fcf50fbda1d62bfa148366a,0x9304e0ce66941552f76cb0e403c609b9fa4e3d04f26c6bfe76e0039dc6ccfe52,5,2024-07-07 23:12:54.000 UTC,229858514.0,5762627286180732,16930158,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
542,2024-07-08 10:51:48,0xf64dfe17c8b87f012fcf50fbda1d62bfa148366a,0x44a016ae649c6e9b621e07bd602374fc142150d95cd3970840a01d03db0cf0b2,9,2024-07-08 10:51:48.000 UTC,230025471.0,149531985002422754,456148360,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
543,2024-07-08 22:56:02,0xf64dfe17c8b87f012fcf50fbda1d62bfa148366a,0x168ce52869c950838ca92006ad08d57fac4094ae2ed94a9a3a479333c818ca22,9,2024-07-08 22:56:02.000 UTC,230198448.0,39590098510016403,119900000,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
544,2024-07-09 10:27:09,0xf64dfe17c8b87f012fcf50fbda1d62bfa148366a,0x24e874a571763d40bde3b756f9f847dcc652bc5e2c5a9c0a35091127c86100c8,5,2024-07-09 10:27:09.000 UTC,230363604.0,27494618831992025,85000000,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
545,2024-07-11 21:50:31,0xf64dfe17c8b87f012fcf50fbda1d62bfa148366a,0x5feb53f25089f0879f0da6f3a36bf9bd37ca7dc34c11c63ae1908ce864a998a7,24,2024-07-11 21:50:31.000 UTC,231216291.0,999732864762,3111,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
546,2024-07-12 14:29:50,0xf64dfe17c8b87f012fcf50fbda1d62bfa148366a,0x19f2c5916cf2611005fefeb0cd62d8697f6203e83aa444556efa6f63eef46918,6,2024-07-12 14:29:50.000 UTC,231455631.0,30712740143457804,95688605,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
547,2024-07-12 20:24:08,0xf64dfe17c8b87f012fcf50fbda1d62bfa148366a,0xe9a2d4da0e79565514b3477a85a8c7317b86ac0404fff12871003eaf791cf238,45,2024-07-12 20:24:08.000 UTC,231540524.0,499999999856699003,1551549133,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
