,ts,contract_address,evt_tx_hash,evt_index,evt_block_time,evt_block_number,amount0,amount1,sender
293,2024-05-03 15:14:02,0x84652bb2539513baf36e225c930fdd8eaa63ce27,0x743f0d9c39652650525ed5ba0046a9bea5373ebf9636f1baee04d9f9da02424c,62,2024-05-03 15:14:02.000 UTC,207441714.0,138730225854824,425385,0x91308b8d5e2352c7953d88a55d1012d68bf1efd0
294,2024-05-03 16:03:51,0x84652bb2539513baf36e225c930fdd8eaa63ce27,0x9c3ec9324bb131aef6bafbf8e31846aa8afc837fc2b0930aeec3fac5d873274d,58,2024-05-03 16:03:51.000 UTC,207453583.0,3542390065076,10894,0x317346ba5489998bf63b56cf47149497805a6ea9
295,2024-05-04 06:52:38,0x84652bb2539513baf36e225c930fdd8eaa63ce27,0x5eab7c62868a32daeefe395f214139fc05b688a9d6b66e09594c1ad77902044a,7,2024-05-04 06:52:38.000 UTC,207665329.0,247861321283830,771491,0xc873fecbd354f5a56e00e710b90ef4201db2448d
296,2024-05-04 07:04:02,0x84652bb2539513baf36e225c930fdd8eaa63ce27,0x3cd6d5ff384bcd57aef3865f10eca65cf8bc4f8477808832dad2efd56115bc5e,52,2024-05-04 07:04:02.000 UTC,207668053.0,213613297224290,666815,0x91308b8d5e2352c7953d88a55d1012d68bf1efd0
297,2024-05-04 15:43:02,0x84652bb2539513baf36e225c930fdd8eaa63ce27,0x4fb0fc8a2fabfc2f02c4a05161e5d476dc3952a461b3afdc0852b0c9cc7b913e,40,2024-05-04 15:43:02.000 UTC,207792191.0,117287557699839,367915,0x91308b8d5e2352c7953d88a55d1012d68bf1efd0
298,2024-05-04 16:03:56,0x84652bb2539513baf36e225c930fdd8eaa63ce27,0xdc9660e1fa0b62a8e0b8fa457811e4897014c5307e9b92d481446762ffaf11aa,54,2024-05-04 16:03:56.000 UTC,207797187.0,3619643471066,11280,0x317346ba5489998bf63b56cf47149497805a6ea9
299,2024-05-05 11:20:02,0x84652bb2539513baf36e225c930fdd8eaa63ce27,0x590a2fe605e69f8d19df47824ce69ba4ae80a4f5825bf6ea38e5470c1dedba93,64,2024-05-05 11:20:02.000 UTC,208073072.0,257739058983511,811568,0x91308b8d5e2352c7953d88a55d1012d68bf1efd0
300,2024-05-05 16:03:51,0x84652bb2539513baf36e225c930fdd8eaa63ce27,0x37adf7ee4d16b06b3befd7d763d9946a7101c0544853df43b1f0b790bd3759c2,57,2024-05-05 16:03:51.000 UTC,208140973.0,3532247145193,11176,0x317346ba5489998bf63b56cf47149497805a6ea9
301,2024-05-05 23:08:07,0x84652bb2539513baf36e225c930fdd8eaa63ce27,0xee089ea4707387cb32e77b1cfc61ae0aa0b884d6705385618bec230d2c4fac6f,92,2024-05-05 23:08:07.000 UTC,208242362.0,31083308506170,97366,0xc873fecbd354f5a56e00e710b90ef4201db2448d
302,2024-05-05 23:36:01,0x84652bb2539513baf36e225c930fdd8eaa63ce27,0x215b852039425289bbecc54a81fe5a4ef983e3a7758064871dfc38257eaa423b,40,2024-05-05 23:36:01.000 UTC,208248986.0,160237593495809,504357,0x91308b8d5e2352c7953d88a55d1012d68bf1efd0
303,2024-05-06 06:00:32,0x84652bb2539513baf36e225c930fdd8eaa63ce27,0xddcf71ed73c031756b984532843754625cd489f0c61a38bd0f450223e46b45a5,92,2024-05-06 06:00:32.000 UTC,208340534.0,80280776065085777,255465453,0x317346ba5489998bf63b56cf47149497805a6ea9
304,2024-05-06 06:07:02,0x84652bb2539513baf36e225c930fdd8eaa63ce27,0xdaca598020f0f6eb3fcf26a8174f5a934acfe080e34b9c74671dc87400865e97,40,2024-05-06 06:07:02.000 UTC,208342078.0,84849331126022,270863,0x91308b8d5e2352c7953d88a55d1012d68bf1efd0
305,2024-05-06 15:16:02,0x84652bb2539513baf36e225c930fdd8eaa63ce27,0x667e49d95953073a39dfad3fb3f294fdd95abcd5fa4d374b7aaf1d35541e3b73,56,2024-05-06 15:16:02.000 UTC,208472877.0,122218146613641,375302,0x91308b8d5e2352c7953d88a55d1012d68bf1efd0
306,2024-05-06 16:03:28,0x84652bb2539513baf36e225c930fdd8eaa63ce27,0x1e0adc71b3afa374e6a8c6c99669ca6eb1fa3303cda6b0d1c641bfdb2ebf2324,74,2024-05-06 16:03:28.000 UTC,208484180.0,1355949559803,4184,0x317346ba5489998bf63b56cf47149497805a6ea9
307,2024-05-07 08:55:02,0x84652bb2539513baf36e225c930fdd8eaa63ce27,0x83c7ffd8588bb77c4cd66c06f6c413309671553bc4dd3ce8268b21dc711993be,62,2024-05-07 08:55:02.000 UTC,208725708.0,226395224841119,708172,0x91308b8d5e2352c7953d88a55d1012d68bf1efd0
308,2024-05-07 13:29:55,0x84652bb2539513baf36e225c930fdd8eaa63ce27,0x75291be93f95008a2b4928265f4a70c1da2176e118ad0a9e251059b9e08d4e14,47,2024-05-07 13:29:55.000 UTC,208791478.0,1000000000000000,3073822,0xc873fecbd354f5a56e00e710b90ef4201db2448d
309,2024-05-07 16:03:46,0x84652bb2539513baf36e225c930fdd8eaa63ce27,0x1d5b6cff2b292d202b69de668f35fad9781739adfd46a98d48a41fe4b14a5829,57,2024-05-07 16:03:46.000 UTC,208828124.0,3164049191312,9745,0x317346ba5489998bf63b56cf47149497805a6ea9
310,2024-05-08 03:52:02,0x84652bb2539513baf36e225c930fdd8eaa63ce27,0x3e1b458b1c640d364d3260eebbb7704c11daab93d1a533ab4359f89d2c24a641,40,2024-05-08 03:52:02.000 UTC,208997025.0,252491118268805,766992,0x91308b8d5e2352c7953d88a55d1012d68bf1efd0
311,2024-05-08 16:03:23,0x84652bb2539513baf36e225c930fdd8eaa63ce27,0x8cb7d08c523bacf78fcc45728893e3c0ea27a564b762de9f3fd025b4592a0c85,73,2024-05-08 16:03:23.000 UTC,209171766.0,3235539584812,9728,0x317346ba5489998bf63b56cf47149497805a6ea9
312,2024-05-08 19:47:02,0x84652bb2539513baf36e225c930fdd8eaa63ce27,0x9fbfa5e85242e380d5331436fe1e1fa06fc2b7daafbe949d62b52550d60dc567,48,2024-05-08 19:47:02.000 UTC,209225025.0,213908019921891,643124,0x91308b8d5e2352c7953d88a55d1012d68bf1efd0
313,2024-05-09 09:03:02,0x84652bb2539513baf36e225c930fdd8eaa63ce27,0xba583705c9554a62578b94878056388b3d6dbcf83208d52851e8b825de925bfe,65,2024-05-09 09:03:02.000 UTC,209414440.0,198590776074251,593486,0x91308b8d5e2352c7953d88a55d1012d68bf1efd0
314,2024-05-09 16:03:41,0x84652bb2539513baf36e225c930fdd8eaa63ce27,0x0018f85200a7749339a796e2b70191b7af6e8ebdd5d9096a3c0e7f390102c20e,59,2024-05-09 16:03:41.000 UTC,209514680.0,3553597102919,10687,0x317346ba5489998bf63b56cf47149497805a6ea9
315,2024-05-10 04:10:02,0x84652bb2539513baf36e225c930fdd8eaa63ce27,0x69a3969138d4eeb4aa535349886ff6af968fe4f99dbd6878f3a479268dd425d0,78,2024-05-10 04:10:02.000 UTC,209687892.0,287189826744160,874259,0x91308b8d5e2352c7953d88a55d1012d68bf1efd0
316,2024-05-10 14:52:43,0x84652bb2539513baf36e225c930fdd8eaa63ce27,0xd52b01539037b95eb891710350f3dcd0c16314a07efd54c5b0827db64cdad680,63,2024-05-10 14:52:43.000 UTC,209840755.0,3343393476491082,9824095,0x317346ba5489998bf63b56cf47149497805a6ea9
317,2024-05-10 16:03:28,0x84652bb2539513baf36e225c930fdd8eaa63ce27,0xee70bf0f2b2770e69a2fe5799eb837bddc95ad957ef274fe7690e248f6dc09ff,61,2024-05-10 16:03:28.000 UTC,209857397.0,3836755466996,11188,0x317346ba5489998bf63b56cf47149497805a6ea9
318,2024-05-10 17:48:01,0x84652bb2539513baf36e225c930fdd8eaa63ce27,0xf25f1ba259fd0ec6798c3625a474c92f9a181279eda10dbe4857011d98a0040a,48,2024-05-10 17:48:01.000 UTC,209882084.0,213519466942586,619816,0x91308b8d5e2352c7953d88a55d1012d68bf1efd0
319,2024-05-11 12:53:02,0x84652bb2539513baf36e225c930fdd8eaa63ce27,0x0855245c62e42ac819ee54dbaee2385f123a3bd27e18ef4450643812e7acfd16,42,2024-05-11 12:53:02.000 UTC,210155312.0,293760443838441,855072,0x91308b8d5e2352c7953d88a55d1012d68bf1efd0
320,2024-05-11 16:03:48,0x84652bb2539513baf36e225c930fdd8eaa63ce27,0xe27b57dc6c9e33319526e331a24d25f375d9a281029e6abae958e3c175c02fd4,54,2024-05-11 16:03:48.000 UTC,210200948.0,3943552410962,11525,0x317346ba5489998bf63b56cf47149497805a6ea9
321,2024-05-11 21:55:01,0x84652bb2539513baf36e225c930fdd8eaa63ce27,0xcbda495c236f993769a3fb2e6f7187c013514a9d930b312947cbe262fad84728,41,2024-05-11 21:55:01.000 UTC,210284989.0,135963629326579,398201,0x91308b8d5e2352c7953d88a55d1012d68bf1efd0
322,2024-05-12 05:32:02,0x84652bb2539513baf36e225c930fdd8eaa63ce27,0x0e291f3b90f5f13fc8539d1599a8037a06b71f0acfb2946a2c98713ffcf78f80,42,2024-05-12 05:32:02.000 UTC,210394059.0,114781796311686,337297,0x91308b8d5e2352c7953d88a55d1012d68bf1efd0
323,2024-05-12 13:28:08,0x84652bb2539513baf36e225c930fdd8eaa63ce27,0x3b32a8921a9c6c4e5dc927f8fbafb8a4ed8b9dc14c98f046597b0a26415a5408,40,2024-05-12 13:28:08.000 UTC,210507842.0,119187417911815,350352,0x91308b8d5e2352c7953d88a55d1012d68bf1efd0
324,2024-05-12 16:03:37,0x84652bb2539513baf36e225c930fdd8eaa63ce27,0xbb7687188a8d0853dc157ebcf6c91d751aefc969c6dae8d7577d63b3be44aa37,62,2024-05-12 16:03:37.000 UTC,210544711.0,3880918726209,11382,0x317346ba5489998bf63b56cf47149497805a6ea9
325,2024-05-13 00:53:17,0x84652bb2539513baf36e225c930fdd8eaa63ce27,0xfe3dd9b0e4a7cc28447f3b124b3fbd0b966ad19dd87909642ed53a3d9cf69fa9,91,2024-05-13 00:53:17.000 UTC,210671083.0,32216067864282,94309,0xc873fecbd354f5a56e00e710b90ef4201db2448d
326,2024-05-13 04:55:02,0x84652bb2539513baf36e225c930fdd8eaa63ce27,0xdf592446b427a296f9b081794ecd4eb4d64267c8fb16643fcb2ab761fc2a72d2,42,2024-05-13 04:55:02.000 UTC,210728226.0,233838050270467,675767,0x91308b8d5e2352c7953d88a55d1012d68bf1efd0
327,2024-05-13 13:17:02,0x84652bb2539513baf36e225c930fdd8eaa63ce27,0x2f38e192102afa4b0e829ee1c0ba94e062a3849633008c093119c715ded31190,47,2024-05-13 13:17:02.000 UTC,210846528.0,123236433481990,366937,0x91308b8d5e2352c7953d88a55d1012d68bf1efd0
328,2024-05-13 16:03:57,0x84652bb2539513baf36e225c930fdd8eaa63ce27,0x4dd8cf4d13576b42885595b797e4e47cef5f461093c640155f6c7ac2939b44c1,61,2024-05-13 16:03:57.000 UTC,210885576.0,3765005012775,11159,0x317346ba5489998bf63b56cf47149497805a6ea9
329,2024-05-14 02:31:02,0x84652bb2539513baf36e225c930fdd8eaa63ce27,0xd4048f26b12b98d6f61105dad452e3eb15c9a0da8c4b949fcf004dee6b4d36d0,42,2024-05-14 02:31:02.000 UTC,211033663.0,182876759774299,540136,0x91308b8d5e2352c7953d88a55d1012d68bf1efd0
330,2024-05-14 16:03:57,0x84652bb2539513baf36e225c930fdd8eaa63ce27,0x9369612d2bc979daf71c0d01aee4fb0094c174d84258b7a3efc55d7ed629a4dd,70,2024-05-14 16:03:57.000 UTC,211224408.0,3433832881997,9955,0x317346ba5489998bf63b56cf47149497805a6ea9
331,2024-05-14 18:10:02,0x84652bb2539513baf36e225c930fdd8eaa63ce27,0xbfe0c32ae6736049c63b331b99c280394093094682c0d99623ec8d34e8d1cb3d,40,2024-05-14 18:10:02.000 UTC,211253629.0,215540528925186,620702,0x91308b8d5e2352c7953d88a55d1012d68bf1efd0
332,2024-05-15 04:00:05,0x84652bb2539513baf36e225c930fdd8eaa63ce27,0xae11cb94015e60752e5fb2b6e2a5ce5c2593a578b43a5939f5dc919a73d84a0e,75,2024-05-15 04:00:05.000 UTC,211393688.0,4256576676020248,12312416,0xc873fecbd354f5a56e00e710b90ef4201db2448d
333,2024-05-15 04:55:02,0x84652bb2539513baf36e225c930fdd8eaa63ce27,0xd4faa4ed81a84a9aff32cf07026473671b1ca1199550f796c1c35c587759b632,42,2024-05-15 04:55:02.000 UTC,211406761.0,151895628772110,441090,0x91308b8d5e2352c7953d88a55d1012d68bf1efd0
334,2024-05-15 16:03:37,0x84652bb2539513baf36e225c930fdd8eaa63ce27,0x63ab2730b877261862ed0cbb73a8a1918d15566461e7059cc465b3d78db0ffab,59,2024-05-15 16:03:37.000 UTC,211563551.0,3644732240703,10863,0x317346ba5489998bf63b56cf47149497805a6ea9
335,2024-05-15 20:43:02,0x84652bb2539513baf36e225c930fdd8eaa63ce27,0x529a81d88ee6644c933dda197fc7a72e20addafc1639a8672926bab4af6105e8,127,2024-05-15 20:43:02.000 UTC,211627749.0,218580931851607,661172,0x91308b8d5e2352c7953d88a55d1012d68bf1efd0
336,2024-05-16 03:27:01,0x84652bb2539513baf36e225c930fdd8eaa63ce27,0x8c3341443ccc92623c18fed6a0028ca277b4575270838f17bb787e8a85f2f0b9,46,2024-05-16 03:27:01.000 UTC,211723076.0,96309932226703,290665,0x91308b8d5e2352c7953d88a55d1012d68bf1efd0
337,2024-05-16 16:03:26,0x84652bb2539513baf36e225c930fdd8eaa63ce27,0xdf22a5f9f13f2fdfef367c616b9767190b8e13f091161b5da13ade4dadf87f5f,55,2024-05-16 16:03:26.000 UTC,211899913.0,3726054489081,11015,0x317346ba5489998bf63b56cf47149497805a6ea9
