,ts,contract_address,evt_tx_hash,evt_index,evt_block_time,evt_block_number,amount0,amount1,sender,to
220,2024-07-24 23:48:59,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0xfa9a889e9d65feb32bdcc412cf3ecd93daa7274f5c8d250ac0f06d375876c97c,313,2024-07-24 23:48:59.000 UTC,20379784.0,7764969847580,2335102554599724533720,0x4587f31ad6f2ff5296053422f8ccf351db368411,0x4587f31ad6f2ff5296053422f8ccf351db368411
221,2024-07-24 23:49:47,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0xaacba18c49dbcc13c155759f9a471b25d223df07925f791a1ea17d61802073ae,62,2024-07-24 23:49:47.000 UTC,20379788.0,2636566360,792875306040773275,0xa5644e29708357803b5a882d272c41cc0df92b34,0xa5644e29708357803b5a882d272c41cc0df92b34
222,2024-07-25 07:03:47,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0xc73022a91b5945d3d20d5480f17acd94c2dfeb7d0863fcebf0d519efce7c1e1a,284,2024-07-25 07:03:47.000 UTC,20381950.0,9179689,2891193724734921,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x7a250d5630b4cf539739df2c5dacb4c659f2488d
223,2024-07-25 09:27:59,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0x69a2379b85683a7ae22dda6729856e8339370dd6e7c2b508c1cad5df5bde4074,82,2024-07-25 09:27:59.000 UTC,20382666.0,2266488955,714584052737052713,0xa5644e29708357803b5a882d272c41cc0df92b34,0xa5644e29708357803b5a882d272c41cc0df92b34
224,2024-07-25 18:05:47,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0xb5a72b066192e33b269d3a7dea498ec86d7a2f707fa2cf99b619206b2e8d5fb1,901,2024-07-25 18:05:47.000 UTC,20385243.0,61545635,19465010166814424,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x7a250d5630b4cf539739df2c5dacb4c659f2488d
225,2024-07-25 23:52:47,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0xa9b80ab5341f96400cdc8dc5e883f8c2f4a5f9f9b52ed3fcbcf51e7b05f1585d,298,2024-07-25 23:52:47.000 UTC,20386964.0,7764969847580,2448749246872526760223,0x4587f31ad6f2ff5296053422f8ccf351db368411,0x4587f31ad6f2ff5296053422f8ccf351db368411
226,2024-07-26 00:23:35,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0xbd944965c913e18fbbe31d52c2a9501be89f3e0ef5bfbdc7e252fa0b95173232,116,2024-07-26 00:23:35.000 UTC,20387116.0,15894718784,4999997959337237347,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x7a250d5630b4cf539739df2c5dacb4c659f2488d
227,2024-07-26 04:14:47,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0x8b7c21ffe67994aa735ec77e99357ef7e739e905522accdad4786791e4bbce66,210,2024-07-26 04:14:47.000 UTC,20388264.0,19426479,5991436347357413,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x7a250d5630b4cf539739df2c5dacb4c659f2488d
228,2024-07-26 23:50:35,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0xf7be9023c7c009ba013353e0ab4da05a9cdf60c5abfef661287eca2e1a5b3c14,209,2024-07-26 23:50:35.000 UTC,20394114.0,7764969847580,2367957480815717718185,0x4587f31ad6f2ff5296053422f8ccf351db368411,0x4587f31ad6f2ff5296053422f8ccf351db368411
229,2024-07-27 01:15:23,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0x14d5dcdb501a5c44f30e6d2fad814d07f4d29ccbeae89b85f5592fb2b566c159,570,2024-07-27 01:15:23.000 UTC,20394536.0,3914841,1200517423486253,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x7a250d5630b4cf539739df2c5dacb4c659f2488d
230,2024-07-27 05:28:23,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0x7a96e8072505985ba79845d1a3e74b823b47f12ac8f6d5ab80453b751e41ac50,344,2024-07-27 05:28:23.000 UTC,20395793.0,5989539,1843139739311191,0xa5644e29708357803b5a882d272c41cc0df92b34,0xa5644e29708357803b5a882d272c41cc0df92b34
231,2024-07-27 23:51:47,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0x2cc9d3b01b3d51bbf5c4dc913609b9d9ffc19df120655dc110859c4d3ed4de70,284,2024-07-27 23:51:47.000 UTC,20401281.0,7764969847580,2381770454644632594880,0x4587f31ad6f2ff5296053422f8ccf351db368411,0x4587f31ad6f2ff5296053422f8ccf351db368411
232,2024-07-28 04:52:35,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0x2949217ad2f369c7ff25b83181088e2c76de25fef126746f5e1e7e599ee5bdd6,218,2024-07-28 04:52:35.000 UTC,20402775.0,1169651,360932397276165,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x7a250d5630b4cf539739df2c5dacb4c659f2488d
