,ts,contract_address,evt_tx_hash,evt_index,evt_block_time,evt_block_number,amount0,amount1,sender
19,2024-03-31 16:41:23,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0x9ea49d8447a458804d31e875cf865a9d6d31ef3329235a3f22a48de1cd00a6f2,347,2024-03-31 16:41:23.000 UTC,19555122.0,1985525256,547456971378165031,0x7a250d5630b4cf539739df2c5dacb4c659f2488d
20,2024-04-03 10:41:11,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0xd3921916340b0ee9a10a8c06bbb02a686020169a650ab3e72914624cda3fae10,146,2024-04-03 10:41:11.000 UTC,19574715.0,260748332,78147767268081682,0x7a250d5630b4cf539739df2c5dacb4c659f2488d
21,2024-04-05 00:50:11,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0x422536e6a49c4525372a02921e340c6481de8fd393442f6e3000788a0e819d71,105,2024-04-05 00:50:11.000 UTC,19586079.0,10000000000,3013400169028924637,0x7a250d5630b4cf539739df2c5dacb4c659f2488d
22,2024-04-12 04:30:59,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0x435a9efbaccb41cf927eea05f2e67eb2a6374e2129c03997c9545a42859b8545,127,2024-04-12 04:30:59.000 UTC,19637154.0,10000000000,2830997251469188429,0x7a250d5630b4cf539739df2c5dacb4c659f2488d
23,2024-04-12 10:22:47,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0x6ec8c21f966b11c0c6e8d5979d7051be78b0e55c305bc770d5c4bc2ae176d642,436,2024-04-12 10:22:47.000 UTC,19638905.0,54894425,15600075678371908,0x7a250d5630b4cf539739df2c5dacb4c659f2488d
24,2024-04-12 13:31:23,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0x86af713a5d543d0ad00ffb95b212189446f477edd7dcab7b9a9c6d6eadc0db98,23,2024-04-12 13:31:23.000 UTC,19639840.0,694304,200000000000000,0x7a250d5630b4cf539739df2c5dacb4c659f2488d
25,2024-04-13 05:22:11,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0x3387a109d9a9666fc7b544f7478368268a1beb05c34b25a8c6ac407921b2ddc2,211,2024-04-13 05:22:11.000 UTC,19644540.0,974338738,298841852686771053,0x7a250d5630b4cf539739df2c5dacb4c659f2488d
26,2024-04-13 08:03:23,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0x447bac66cef5bdee834e53973306fa89179f23b2d12d5fd10f6739c8c8fc1572,285,2024-04-13 08:03:23.000 UTC,19645341.0,100,30713889509,0x7a250d5630b4cf539739df2c5dacb4c659f2488d
27,2024-04-15 00:05:59,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0x40bad609cc3f98f42a80653756409cd0540775fce6f2ab665bc1cf5106381abe,270,2024-04-15 00:05:59.000 UTC,19657230.0,31902165433,10125638460842824069,0x7a250d5630b4cf539739df2c5dacb4c659f2488d
28,2024-04-15 00:37:47,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0x1b3140c49fbb3774d96b523dfb89a7619d8b2562a3be9bac3e1fe055baeb2563,232,2024-04-15 00:37:47.000 UTC,19657387.0,3171194015,1015301846094653883,0x7a250d5630b4cf539739df2c5dacb4c659f2488d
29,2024-04-16 05:19:47,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0xe393b0d1c46123864b383af6ba96f595425488c50c057e9f2f13666edef354ed,195,2024-04-16 05:19:47.000 UTC,19665918.0,10000000000,3292579122517935610,0x7a250d5630b4cf539739df2c5dacb4c659f2488d
30,2024-04-17 01:49:23,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0x0eb3740f1566c1c846d6f3e2b921a85ce45d6de9b32a87658b36cb7932833313,247,2024-04-17 01:49:23.000 UTC,19672014.0,82187915568,26669250005783667000,0x7a250d5630b4cf539739df2c5dacb4c659f2488d
31,2024-04-18 13:04:23,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0x988ff62589ded7bda28a32d7e0101e374f23e26f9c62883bddeaa0dfafee92a5,346,2024-04-18 13:04:23.000 UTC,19682521.0,30249374,9996509497019408,0x7a250d5630b4cf539739df2c5dacb4c659f2488d
32,2024-04-19 04:33:23,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0x5f5114eeb4850f8f15acbd78f137ac34f64e1d97ef35ef67f2377ade737eae8f,233,2024-04-19 04:33:23.000 UTC,19687133.0,10000000000,3334234173840179954,0x7a250d5630b4cf539739df2c5dacb4c659f2488d
33,2024-04-20 23:58:59,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0x47075035a3b0c438e2fd274480c1f4b7f9d62c99b5b62fe66bcb0d011e1e4138,178,2024-04-20 23:58:59.000 UTC,19700057.0,150000,47626667372327,0x7a250d5630b4cf539739df2c5dacb4c659f2488d
34,2024-04-21 00:16:59,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0xf22088e21561398f1722a5c55c02b578b0a52cdabb58027aaef4a003fca9e792,457,2024-04-21 00:16:59.000 UTC,19700147.0,100000,31791845779961,0x7a250d5630b4cf539739df2c5dacb4c659f2488d
35,2024-04-22 01:02:47,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0x11d898aa24d5f08046425fe2038f15b3082a7093923ab7fcf0c6efbe7e9e989f,192,2024-04-22 01:02:47.000 UTC,19707533.0,7764969847581,2462301649709673660445,0x7a250d5630b4cf539739df2c5dacb4c659f2488d
36,2024-04-22 09:42:59,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0x18372da1c10e24a0394445185635b87f662db14193e23ea0d29c00fe4f0fef40,313,2024-04-22 09:42:59.000 UTC,19710114.0,10000000000,3113943279433798288,0x7a250d5630b4cf539739df2c5dacb4c659f2488d
37,2024-04-24 23:13:23,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0xdebbf555ee2414748a24ee55c5866fb3efb1bed8fed370eac7388c8b1e3b13ff,173,2024-04-24 23:13:23.000 UTC,19728432.0,7764969847581,2487977179075309140584,0x7a250d5630b4cf539739df2c5dacb4c659f2488d
38,2024-04-25 02:35:47,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0x250dc475b0c3f684f2068bc7b3e9a657bfd4710873cc3396dc16a17521c5242f,511,2024-04-25 02:35:47.000 UTC,19729438.0,5000000,1584560823720109,0x7a250d5630b4cf539739df2c5dacb4c659f2488d
39,2024-04-26 23:49:59,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0x00bdae08fdde0321a03a34d0fd065e360763a85b71b526e4b06f225bcf61edb6,234,2024-04-26 23:49:59.000 UTC,19742905.0,7764969847581,2485105734679891842726,0x7a250d5630b4cf539739df2c5dacb4c659f2488d
40,2024-04-29 01:28:59,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0x8d92a26f69396cdd589689964c33789bf890f8d50e3ea742718ee404caf4ebcb,160,2024-04-29 01:28:59.000 UTC,19757691.0,7764969847581,2372177220907154381153,0x7a250d5630b4cf539739df2c5dacb4c659f2488d
41,2024-04-29 16:12:47,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0x2e1e56075fd9d739c133ce3697164ef74c7fc696e3f0984720b868a45b6f59d2,220,2024-04-29 16:12:47.000 UTC,19762081.0,31814336,10000000000000000,0x7a250d5630b4cf539739df2c5dacb4c659f2488d
42,2024-05-01 01:57:59,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0x85036429e620ae40e74ef4fc9550fe726c8cc54ed1777684081a18985239a958,92,2024-05-01 01:57:59.000 UTC,19772148.0,7764969847581,2590098318787358846633,0x7a250d5630b4cf539739df2c5dacb4c659f2488d
43,2024-05-01 10:08:11,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0x4b1bd0c6c7bf77fe91378cb9ad4ad2b9ea8b8a4afc60f06fd7aa46ad36f62d33,260,2024-05-01 10:08:11.000 UTC,19774584.0,227192253967,79178288701153984964,0x7a250d5630b4cf539739df2c5dacb4c659f2488d
44,2024-05-01 10:13:11,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0xd691103bcb1646971831ae705b33d43e0c4dbd20f660abf4f76baa0421b6ce86,511,2024-05-01 10:13:11.000 UTC,19774608.0,46614055239,16269220599315929101,0x7a250d5630b4cf539739df2c5dacb4c659f2488d
45,2024-05-01 10:37:35,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0xceac030e10bb2d721d0f49185f301d1e949523a7e8f8aa0f92855126008c6216,221,2024-05-01 10:37:35.000 UTC,19774730.0,153368021437,53233164826788759843,0x7a250d5630b4cf539739df2c5dacb4c659f2488d
46,2024-05-02 02:18:47,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0xb324153a861ed8e9a949ef772825816a56650ccc09139fcb623fd84e2cc91db0,187,2024-05-02 02:18:47.000 UTC,19779410.0,467443583,160815238184180363,0x7a250d5630b4cf539739df2c5dacb4c659f2488d
47,2024-05-03 23:46:47,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0x86e8250640a13ce45067ba5228690f4af8eb002bbbddf98b2190dbd9753f67f5,127,2024-05-03 23:46:47.000 UTC,19792957.0,7764969847581,2495429347781191917931,0x7a250d5630b4cf539739df2c5dacb4c659f2488d
