,ts,contract_address,evt_tx_hash,evt_index,evt_block_time,evt_block_number,amount0,amount1,sender,to
16,2024-03-24 06:10:17,0xf64dfe17c8b87f012fcf50fbda1d62bfa148366a,0xde1b55333a272e39d3f3937a95d356ae73efae4f46a9f262defaf955082d51b3,8,2024-03-24 06:10:17.000 UTC,193621091.0,29707688900204540,98741338,0xa5644e29708357803b5a882d272c41cc0df92b34,0xa5644e29708357803b5a882d272c41cc0df92b34
17,2024-03-24 17:18:44,0xf64dfe17c8b87f012fcf50fbda1d62bfa148366a,0xd623e5a621567427494e376ff7f28e8f6ca717b55572717f069fbf9283585d13,39,2024-03-24 17:18:44.000 UTC,193781330.0,999999833145230,3347792,0xa5644e29708357803b5a882d272c41cc0df92b34,0xa5644e29708357803b5a882d272c41cc0df92b34
18,2024-03-25 00:27:31,0xf64dfe17c8b87f012fcf50fbda1d62bfa148366a,0x01941a18c750181dfbfdc34f6fcf3fc755494c4f6aa9417e8da9a41f19cbecb1,6,2024-03-25 00:27:31.000 UTC,193883755.0,16363448263448873211,56391900539,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
19,2024-03-26 17:47:25,0xf64dfe17c8b87f012fcf50fbda1d62bfa148366a,0xfd0b75c03f15f9a938c82a0607fec08a82c1486b1feafa627e7e750e7001505a,7,2024-03-26 17:47:25.000 UTC,194478395.0,1401145680980988,5010150,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
20,2024-03-27 01:48:58,0xf64dfe17c8b87f012fcf50fbda1d62bfa148366a,0xf07aabd14a5256b05a9745cca2ae3fd3345768ec80fea33c6993cbb149d6fe6e,36,2024-03-27 01:48:58.000 UTC,194593723.0,2770268246244786009,10015091826,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
21,2024-03-27 02:04:06,0xf64dfe17c8b87f012fcf50fbda1d62bfa148366a,0xec1e0bda6438fa39b582b63af2218634c0aeebe3e68a17d35016cbfba33fde53,30,2024-03-27 02:04:06.000 UTC,194597339.0,995768584812043,3595035,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
22,2024-03-27 07:00:31,0xf64dfe17c8b87f012fcf50fbda1d62bfa148366a,0xe34ce7f3c917aab81967606e5c28bbfe35fca482c1da46ff0a71c6c0f806d51d,9,2024-03-27 07:00:31.000 UTC,194668259.0,277171543556451,999999,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
23,2024-03-27 07:23:09,0xf64dfe17c8b87f012fcf50fbda1d62bfa148366a,0x83e2ceeb1d6b6acbca56127aa8adc198214659301af9e1a952390a6d03544643,13,2024-03-27 07:23:09.000 UTC,194673685.0,997798186783777,3576877,0xa5644e29708357803b5a882d272c41cc0df92b34,0xa5644e29708357803b5a882d272c41cc0df92b34
24,2024-03-27 07:50:22,0xf64dfe17c8b87f012fcf50fbda1d62bfa148366a,0x67c2b5ca3c65c1bbcd06cbe4e4f54985cdaaf0d6cff10348156a375a6e4ac06a,33,2024-03-27 07:50:22.000 UTC,194680216.0,996572338663536,3566619,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
25,2024-03-27 08:24:16,0xf64dfe17c8b87f012fcf50fbda1d62bfa148366a,0x9518ad44068e38fb6c16e693ebea887fbec69ded649d62007638bacee9350b54,10,2024-03-27 08:24:16.000 UTC,194688316.0,840121694148716,2999999,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
26,2024-03-27 10:41:17,0xf64dfe17c8b87f012fcf50fbda1d62bfa148366a,0x85f7a6f7b4dd915508f7d3fd1d04c0fb62609a2250be05180a30ab957de613c4,6,2024-03-27 10:41:17.000 UTC,194721137.0,471264307874454,1684781,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
27,2024-03-27 12:16:34,0xf64dfe17c8b87f012fcf50fbda1d62bfa148366a,0x292d44563bc0c95365aada64bdf2f53c26e83f5318e6e0c875f9c280fe600a30,18,2024-03-27 12:16:34.000 UTC,194743937.0,279071822979365,1000011,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
28,2024-03-27 12:49:27,0xf64dfe17c8b87f012fcf50fbda1d62bfa148366a,0x9fdd6cfe1cf1833636664af82aa286cfa39dde79f80f6dc787ee7d80149569e2,6,2024-03-27 12:49:27.000 UTC,194751828.0,139637858795999,499624,0xa5644e29708357803b5a882d272c41cc0df92b34,0xa5644e29708357803b5a882d272c41cc0df92b34
29,2024-03-27 14:41:55,0xf64dfe17c8b87f012fcf50fbda1d62bfa148366a,0x1b99a899d9e52817d6e24a9d9d3f117cff60e0d6d3c27ed7d9252d2d22983f86,16,2024-03-27 14:41:55.000 UTC,194778607.0,282153204078715,1001053,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
30,2024-03-27 16:06:27,0xf64dfe17c8b87f012fcf50fbda1d62bfa148366a,0x8cdd58cef11154277a4b323335345cb2bae97d3d06345eddb129a21c0ce44692,14,2024-03-27 16:06:27.000 UTC,194798767.0,995851026278365,3506909,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
31,2024-03-27 16:10:14,0xf64dfe17c8b87f012fcf50fbda1d62bfa148366a,0xd8f3947fffc67d68665af468b9b13ab6549e40040d30461690ebf90e8899205a,36,2024-03-27 16:10:14.000 UTC,194799676.0,19643042805513,69104,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
32,2024-03-27 17:16:08,0xf64dfe17c8b87f012fcf50fbda1d62bfa148366a,0xb628cf8fb37861af401b916fa6a210df0b71a4c22fd7c81b96750ab1553ee2e6,7,2024-03-27 17:16:08.000 UTC,194815418.0,993045042229211,3498078,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
33,2024-03-27 18:02:45,0xf64dfe17c8b87f012fcf50fbda1d62bfa148366a,0x3e6757dadb30116a1e30e8fb62a39b134f10c1152c5e43e431c0e3ea0dcbf41c,6,2024-03-27 18:02:45.000 UTC,194826567.0,285174365164069,999970,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
34,2024-03-27 18:16:32,0xf64dfe17c8b87f012fcf50fbda1d62bfa148366a,0x1fa3fc23949047a335c97e065a65c0ca5051cdcc5b011ccf738223c8cde9248f,6,2024-03-27 18:16:32.000 UTC,194829872.0,1996427900234363,6976072,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
35,2024-03-27 18:58:14,0xf64dfe17c8b87f012fcf50fbda1d62bfa148366a,0x1b7879cec08d6b06dc2c2a6d775be74126d41312d4c53673fd962a44eb545766,6,2024-03-27 18:58:14.000 UTC,194839846.0,1438197967884335,4987305,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24,0x4752ba5dbc23f44d87826276bf6fd6b1c372ad24
